condition_label,model_label,runs,dice_mean,dice_sd,iou_mean,iou_sd,boundary_f1_mean,val_dice_mean,gap_mean
Real + inpainting,U-Net++,3,0.6139990254520747,0.02584003721081536,0.495284366693143,0.020553534360930985,0.6860901326084581,0.9830988552892094,0.3690998298371347
Real + inpainting,SegFormer-B2,3,0.5935047638685331,0.03443070469191098,0.46843025698620794,0.03684563324773488,0.6499897680132305,0.9413998301578007,0.34789506628926753
Real + inpainting,FPN,3,0.4385062436525475,0.12040185248565058,0.34428241452791264,0.10146420948646151,0.49974180752390246,0.9525105695145561,0.5140043258620087
Real + inpainting,MONAI U-Net,3,0.42071480597442984,0.014880768225284188,0.301023121591049,0.009367727239277788,0.4734366565850406,0.8840007223998215,0.4632859164253917
Real + inpainting,DeepLabV3+,3,0.4041123577007884,0.04903404173323821,0.3123288659539139,0.03900248961547709,0.4664304588305644,0.9490297615642741,0.5449174038634855
Real + inpainting,U-Net,3,0.19472094976902646,0.03914354773126173,0.1476083344052461,0.03007299599611378,0.22256186444553072,0.9698313908134493,0.7751104410444226
Real only,SegFormer-B2,3,0.7283704642150578,0.012426817466002053,0.6065573116228723,0.010636433854342682,0.7946549746640589,0.834669301101039,0.10629883688598125
Real only,U-Net++,3,0.7036080839242623,0.015601522418523459,0.5774514753806,0.01621833978185535,0.7762302906156613,0.8209186098410258,0.11731052591676339
Real only,DeepLabV3+,3,0.6940040844374632,0.01690053083183048,0.5660357347502928,0.0161621185782305,0.7625070695571375,0.796790237655567,0.10278615321810398
Real only,FPN,3,0.6849201578740226,0.011398864129580044,0.5522036802656165,0.012385381397549381,0.7570722807419296,0.812455656527522,0.12753549865349947
Real only,U-Net,3,0.6604144670014099,0.006653496624052005,0.5337729987641189,0.0068049127547274435,0.735013678389718,0.8111639373923875,0.15074947039097752
Real only,MONAI U-Net,3,0.3719338236639122,0.2945348951925789,0.2775136924287742,0.22670078690782808,0.38978417143450267,0.4712345027184026,0.09930067905449046
